path	11
T	19
cut	98
Partition 0	2130,2139,2140
Partition 1	2129,2138,2068
Partition 2	2142,2143,2076
Partition 3	2066,2131,2132
Partition 4	2133,2135,2134,2136,2137
Partition 5	2146,2099,2100
Partition 6	2147,2145,2148,2088
Partition 7	2144,2150,2151
Partition 8	2141,2149,2089
Partition 9	2063,2082,2083,2062
Partition 10	2077,2078,2067
Partition 11	2090,2091,2092,2093
Partition 12	2096,2097,2075
Partition 13	2065,2079,2080
Partition 14	2081,2085,2084,2086,2087
Partition 15	2112,2113,2114,2071,2115,2110
Partition 16	2069,2111,2109
Partition 17	2102,2103,2101
Partition 18	2098,2094,2095
Partition 19	2104,2105,2107,2108,2106
Partition 20	2072,2156,2074
Partition 21	2158,2157,2160
Partition 22	2164,2166,2168
Partition 23	2070,2163,2155,2159
Partition 24	2161,2162,2165
Partition 25	2153,2152
Partition 26	2167,2169,2154
Partition 27	2180,2175,2178
Partition 28	2127
Partition 29	2174,2177
Partition 30	2124,2183,2184
Partition 31	2185,2199,2200,2186
Partition 32	2192,2189,2190
Partition 33	2196,2197,2198
Partition 34	2191,2193,2194,2195
Partition 35	2116,2117,2118
Partition 36	2121,2073,2119,2122
Partition 37	2126,2188,2123
Partition 38	2064,2125,2120,2179
Partition 39	2187,2182,2181
Partition 40	2170,2172
Partition 41	2128,2173
Partition 42	2176,2171
