Start cell number	Iteration	End cell number	QS Number	QS Distribution by cell
47	1	53	1.0,2.0,3.0,4.0,5.0,6.0	5,10,21,11,3,3
47	2	51	1.0,2.0,3.0,4.0,5.0,6.0,7.0	4,10,19,8,7,2,1
47	3	52	1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0	4,11,17,12,5,1,1,1
47	4	53	1.0,2.0,3.0,4.0,5.0,6.0,7.0	5,9,20,11,4,3,1
47	5	53	1.0,2.0,3.0,4.0,5.0,6.0	5,8,20,8,7,5
48	1	53	1.0,2.0,3.0,4.0,5.0,6.0,7.0	5,10,20,11,4,2,1
48	2	55	1.0,2.0,3.0,4.0,5.0,7.0,8.0	3,12,23,13,1,2,1
48	3	54	1.0,2.0,3.0,4.0,5.0,6.0	5,11,17,12,6,3
48	4	55	1.0,2.0,3.0,4.0,5.0,7.0,8.0	5,8,25,14,1,1,1
48	5	56	1.0,2.0,3.0,4.0,5.0,6.0,7.0	6,10,22,11,4,2,1
49	1	55	1.0,2.0,3.0,4.0,5.0,6.0,7.0	7,11,18,10,5,3,1
49	2	56	1.0,2.0,3.0,4.0,5.0,6.0,7.0	4,15,18,13,4,1,1
49	3	54	1.0,2.0,3.0,4.0,5.0,6.0,7.0	6,12,18,11,4,1,2
49	4	56	1.0,2.0,3.0,4.0,5.0,7.0	4,13,20,12,5,2
49	5	55	1.0,2.0,3.0,4.0,5.0,6.0	7,11,14,17,3,3
50	1	54	1.0,2.0,3.0,4.0,5.0	5,12,21,9,7
50	2	54	1.0,2.0,3.0,4.0,5.0,6.0	5,10,22,10,6,1
50	3	54	1.0,2.0,3.0,4.0,5.0	5,12,19,11,7
50	4	55	1.0,2.0,3.0,4.0,5.0,8.0	6,10,23,7,8,1
50	5	53	1.0,2.0,3.0,4.0,5.0,6.0	4,11,22,9,6,1
51	1	53	1.0,2.0,3.0,4.0,5.0,6.0,7.0	5,11,15,16,4,1,1
51	2	52	1.0,2.0,3.0,4.0,5.0,6.0,8.0	8,9,16,12,5,1,1
51	3	54	1.0,2.0,3.0,4.0,5.0,6.0	5,13,17,12,5,2
51	4	54	1.0,2.0,3.0,4.0,5.0,6.0,7.0	6,10,19,12,4,1,2
51	5	55	1.0,2.0,3.0,4.0,5.0,6.0	6,12,18,13,5,1
52	1	56	1.0,2.0,3.0,4.0,5.0	7,11,16,15,7
52	2	54	1.0,2.0,3.0,4.0,5.0	6,9,17,16,6
52	3	54	1.0,2.0,3.0,4.0,5.0,6.0	7,8,19,11,7,2
52	4	53	1.0,2.0,3.0,4.0,5.0,8.0	4,8,21,15,4,1
52	5	54	1.0,2.0,3.0,4.0,5.0,6.0	5,11,20,12,5,1
53	1	55	1.0,2.0,3.0,4.0,5.0,7.0	8,9,18,10,9,1
53	2	58	1.0,2.0,3.0,4.0,5.0	3,11,27,12,5
53	3	56	1.0,2.0,3.0,4.0,5.0,6.0,7.0	5,10,22,15,2,1,1
53	4	58	1.0,2.0,3.0,4.0,5.0,6.0,8.0	4,13,25,10,2,3,1
53	5	57	1.0,2.0,3.0,4.0,5.0,6.0,8.0	3,11,27,12,2,1,1
54	1	58	1.0,2.0,3.0,4.0,5.0,6.0,7.0	3,13,25,10,5,1,1
54	2	56	1.0,2.0,3.0,4.0,5.0,6.0	4,13,21,11,6,1
54	3	57	1.0,2.0,3.0,4.0,5.0,6.0	4,11,28,6,7,1
54	4	57	1.0,2.0,3.0,4.0,5.0,7.0	7,10,22,10,7,1
54	5	57	1.0,2.0,3.0,4.0,5.0,6.0	6,9,27,9,5,1
55	1	58	1.0,2.0,3.0,4.0,5.0,6.0,7.0	5,12,23,12,4,1,1
55	2	57	1.0,2.0,3.0,4.0,5.0,6.0,7.0	5,11,22,13,3,2,1
55	3	57	1.0,2.0,3.0,4.0,5.0,6.0,8.0	5,12,22,12,2,3,1
55	4	57	1.0,2.0,3.0,4.0,5.0,6.0,8.0	7,10,21,15,1,2,1
55	5	57	1.0,2.0,3.0,4.0,5.0,6.0,8.0	4,16,17,12,4,3,1
56	1	58	1.0,2.0,3.0,4.0,5.0	6,11,24,11,6
56	2	57	1.0,2.0,3.0,4.0,5.0,6.0	7,10,21,15,2,2
56	3	57	1.0,2.0,3.0,4.0,5.0,6.0	6,13,19,10,6,3
56	4	55	1.0,2.0,3.0,4.0,5.0,6.0	5,12,19,14,3,2
56	5	57	1.0,2.0,3.0,4.0,5.0,6.0	6,11,19,15,5,1
57	1	58	1.0,2.0,3.0,4.0,5.0,6.0,7.0	7,11,23,10,4,2,1
57	2	58	1.0,2.0,3.0,4.0,5.0,6.0,7.0	7,11,23,13,2,1,1
57	3	58	1.0,2.0,3.0,4.0,5.0,6.0	4,11,27,11,3,2
57	4	61	1.0,2.0,3.0,4.0,5.0,6.0	3,15,24,11,7,1
57	5	60	1.0,2.0,3.0,4.0,5.0	7,10,26,11,6
58	1	57	1.0,2.0,3.0,4.0,5.0,6.0	7,9,23,12,5,1
58	2	59	1.0,2.0,3.0,4.0,5.0,6.0	5,13,22,13,5,1
58	3	57	1.0,2.0,3.0,4.0,5.0,6.0	8,10,21,13,3,2
58	4	55	1.0,2.0,3.0,4.0,5.0,6.0,7.0	7,9,24,7,6,1,1
58	5	58	1.0,2.0,3.0,4.0,5.0,6.0	7,10,23,10,7,1
59	1	58	1.0,2.0,3.0,4.0,5.0,7.0,8.0	5,11,25,12,3,1,1
59	2	55	1.0,2.0,3.0,4.0,5.0	5,10,23,13,4
59	3	57	1.0,2.0,3.0,4.0,5.0,7.0	5,11,22,14,4,1
59	4	58	1.0,2.0,3.0,4.0,5.0,6.0,7.0	7,10,23,12,4,1,1
59	5	59	1.0,2.0,3.0,4.0,5.0,6.0,8.0	7,11,24,10,4,2,1
60	1	59	1.0,2.0,3.0,4.0,5.0,6.0,7.0	6,13,21,16,1,1,1
60	2	60	1.0,2.0,3.0,4.0,5.0,6.0	5,10,28,14,2,1
60	3	59	1.0,2.0,3.0,4.0,5.0	5,13,21,17,3
60	4	58	1.0,2.0,3.0,4.0,5.0	8,8,23,15,4
60	5	59	1.0,2.0,3.0,4.0,5.0,6.0	5,11,24,15,2,2
